CurTime,logDuration,countdownTimer,timesinceMovement,timePresent,personPresent
16:05:50,3:8:1,00:04:02,0.97985,177.616666666667,1
16:06:50,3:9:1,00:04:47,0.20905,178.6,1
16:07:50,3:10:1,00:04:52,0.12065,179.6,1
16:08:50,3:11:1,00:04:59,0.00183333333333333,180.583333333333,1
16:09:50,3:12:1,00:04:58,0.0171666666666667,181.566666666667,1
16:10:50,3:13:1,00:04:57,0.0481,182.55,1
16:11:50,3:14:1,00:04:59,0.00313333333333333,183.533333333333,1
16:12:50,3:15:1,00:04:43,0.2753,184.516666666667,1
16:13:50,3:16:1,00:05:00,0.0101166666666667,185.516666666667,1
16:14:50,3:17:1,00:04:59,0.0119333333333333,186.5,1
16:15:50,3:18:1,00:04:57,0.0408166666666667,187.483333333333,1
16:16:50,3:19:2,00:04:28,0.52725,188.466666666667,1
16:17:50,3:20:2,00:04:09,0.8473,189.45,1
16:18:50,3:21:2,00:04:28,0.5353,190.45,1
16:19:50,3:22:2,00:04:49,0.172116666666667,191.433333333333,1
16:20:50,3:23:2,00:04:41,0.32055,192.416666666667,1
16:21:50,3:24:2,00:04:37,0.3879,193.4,1
16:22:50,3:25:2,00:03:38,1.38496666666667,194.383333333333,1
16:23:50,3:26:2,00:04:52,0.121433333333333,195.383333333333,1
16:24:50,3:27:2,00:04:39,0.353066666666667,196.366666666667,1
16:25:50,3:28:2,00:04:30,0.502566666666667,197.35,1
16:26:50,3:29:2,00:05:00,0.00415,198.333333333333,1
16:27:50,3:30:2,00:04:20,0.664266666666667,199.316666666667,1
16:28:50,3:31:2,00:04:59,0.0078,200.3,1
16:29:50,3:32:2,00:04:57,0.03485,201.3,1
16:30:50,3:33:2,00:04:35,0.411033333333333,202.283333333333,1
16:31:50,3:34:2,00:04:46,0.23605,203.266666666667,1
16:32:50,3:35:2,00:04:58,0.0299333333333333,204.25,1
16:33:50,3:36:2,00:04:59,0.00158333333333333,205.233333333333,1
16:34:50,3:37:2,00:04:57,0.0369333333333333,206.233333333333,1
16:35:50,3:38:2,00:04:47,0.215533333333333,207.216666666667,1
16:36:50,3:39:2,00:04:28,0.533483333333333,208.2,1
16:37:50,3:40:2,00:04:47,0.203566666666667,209.183333333333,1
16:38:50,3:41:2,00:05:00,0.00573333333333333,210.166666666667,1
16:39:50,3:42:2,00:04:39,0.352816666666667,211.15,1
16:40:50,3:43:2,00:04:12,0.804166666666667,212.15,1
16:41:50,3:44:2,00:04:07,0.882916666666667,213.133333333333,1
16:42:50,3:45:2,00:04:44,0.262866666666667,214.116666666667,1
16:43:50,3:46:2,00:03:45,1.2599,215.1,1
16:44:50,3:47:2,00:04:46,0.224916666666667,216.083333333333,1
16:45:50,3:48:2,00:04:52,0.119833333333333,217.083333333333,1
16:46:50,3:49:2,00:05:00,0.0374333333333333,218.066666666667,1
16:47:50,3:50:2,00:04:47,0.210866666666667,219.05,1
16:48:50,3:51:2,00:04:37,0.386316666666667,220.033333333333,1
16:49:50,3:52:2,00:04:58,0.0252333333333333,221.016666666667,1
16:50:50,3:53:2,00:04:58,0.01795,222.016666666667,1
16:51:50,3:54:2,00:05:00,0.00103333333333333,223,1
16:52:50,3:55:2,00:04:10,0.836916666666667,223.983333333333,1
16:53:50,3:56:2,00:04:50,0.153366666666667,224.966666666667,1
16:54:50,3:57:2,00:04:52,0.131316666666667,225.95,1
16:55:50,3:58:2,00:04:52,0.12795,226.933333333333,1
16:56:50,3:59:2,00:04:59,0.00523333333333333,227.933333333333,1
16:57:50,4:0:2,00:04:59,0.0121833333333333,228.916666666667,1
16:58:50,4:1:2,00:04:20,0.6734,229.9,1
16:59:50,4:2:2,00:04:55,0.0824333333333333,230.883333333333,1
17:00:50,4:3:2,00:05:00,0.0270666666666667,231.866666666667,1
17:01:51,4:4:2,00:04:57,0.0499333333333333,232.866666666667,1
17:02:51,4:5:2,00:04:54,0.0891833333333333,233.85,1
17:03:51,4:6:2,00:04:46,0.226216666666667,234.833333333333,1
17:04:51,4:7:2,00:04:56,0.0658166666666667,235.816666666667,1
17:05:51,4:8:2,00:05:00,0.00835,236.8,1
17:06:51,4:9:2,00:04:08,0.866016666666667,237.783333333333,1
17:07:51,4:10:2,00:03:08,1.87996666666667,238.783333333333,1
17:08:51,4:11:2,00:02:09,2.87703333333333,239.766666666667,1
17:09:51,4:12:2,00:01:10,3.87406666666667,240.75,1
17:10:51,4:13:2,00:00:11,4.87111666666667,241.733333333333,1
17:11:51,4:14:2,00:00:00,5.86816666666667,241.9,0
17:12:51,4:15:2,00:04:35,0.4147,242.75,1
17:13:51,4:16:2,00:03:36,1.41173333333333,243.733333333333,1
17:14:51,4:17:2,00:02:37,2.4088,244.716666666667,1
17:15:51,4:18:2,00:05:00,0.00833333333333333,245.7,1
17:16:51,4:19:2,00:04:59,0.0163666666666667,246.683333333333,1
17:17:51,4:20:2,00:04:48,0.192933333333333,247.666666666667,1
17:18:51,4:21:2,00:04:51,0.137816666666667,248.666666666667,1
17:19:51,4:22:2,00:04:59,0.0138166666666667,249.65,1
17:20:51,4:23:2,00:04:53,0.1165,250.633333333333,1
17:21:51,4:24:2,00:04:53,0.108933333333333,251.616666666667,1
