CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:35:22,0:1:29,0.39,0.01,1.47,1
18:35:22,0:1:30,0.38,0.01,1.47,1
18:35:23,0:1:30,0.38,0.0,1.48,1
18:35:23,0:1:31,0.38,0.0,1.48,1
18:35:24,0:1:31,0.38,0.0,1.5,1
18:35:24,0:1:32,0.38,0.0,1.5,1
18:35:25,0:1:32,0.38,0.0,1.52,1
18:35:25,0:1:33,0.38,0.0,1.52,1
18:35:26,0:1:33,0.38,0.0,1.53,1
18:35:26,0:1:34,0.38,0.0,1.53,1
18:35:27,0:1:34,0.38,0.0,1.55,1
18:35:27,0:1:35,0.37,0.0,1.55,1
18:35:28,0:1:35,0.37,0.0,1.57,1
18:35:28,0:1:36,0.37,0.0,1.57,1
18:35:29,0:1:36,0.37,0.0,1.58,1
18:35:29,0:1:37,0.37,0.0,1.58,1
18:35:30,0:1:37,0.37,0.0,1.6,1
18:35:30,0:1:38,0.37,0.0,1.6,1
18:35:31,0:1:38,0.37,0.0,1.62,1
18:35:31,0:1:39,0.37,0.0,1.62,1
18:35:32,0:1:39,0.37,0.0,1.63,1
18:35:32,0:1:40,0.36,0.0,1.63,1
18:35:33,0:1:40,0.36,0.0,1.65,1
18:35:33,0:1:41,0.36,0.0,1.65,1
18:35:34,0:1:41,0.36,0.01,1.67,1
18:35:34,0:1:42,0.36,0.01,1.67,1
18:35:35,0:1:42,0.36,0.01,1.68,1
18:35:35,0:1:43,0.36,0.01,1.68,1
18:35:36,0:1:43,0.36,0.01,1.7,1
18:35:36,0:1:44,0.36,0.01,1.7,1
18:35:37,0:1:44,0.36,0.01,1.72,1
18:35:37,0:1:45,0.36,0.01,1.72,1
18:35:38,0:1:45,0.36,0.01,1.73,1
18:35:38,0:1:46,0.35,0.01,1.73,1
18:35:39,0:1:46,0.35,0.01,1.75,1
18:35:39,0:1:47,0.35,0.01,1.75,1
18:35:40,0:1:47,0.35,0.01,1.77,1
18:35:40,0:1:48,0.35,0.01,1.77,1
18:35:41,0:1:48,0.35,0.01,1.78,1
18:35:41,0:1:49,0.35,0.01,1.78,1
18:35:42,0:1:49,0.35,0.01,1.8,1
18:35:42,0:1:50,0.34,0.01,1.8,1
18:35:43,0:1:50,0.35,0.01,1.8,1
18:35:43,0:1:51,0.35,0.0,1.82,1
18:35:44,0:1:51,0.34,0.0,1.82,1
18:35:44,0:1:52,0.34,0.0,1.83,1
18:35:45,0:1:52,0.34,0.0,1.83,1
18:35:45,0:1:53,0.34,0.0,1.85,1
18:35:46,0:1:53,0.34,0.0,1.85,1
18:35:46,0:1:54,0.34,0.0,1.87,1
18:35:47,0:1:54,0.34,0.0,1.87,1
18:35:47,0:1:54,0.34,0.0,1.88,1
18:35:48,0:1:55,0.34,0.0,1.88,1
18:35:48,0:1:55,0.34,0.0,1.9,1
18:35:49,0:1:56,0.34,0.0,1.9,1
18:35:49,0:1:56,0.34,0.0,1.92,1
18:35:50,0:1:57,0.33,0.0,1.92,1
18:35:50,0:1:57,0.33,0.0,1.93,1
18:35:51,0:1:58,0.33,0.0,1.93,1
18:35:51,0:1:58,0.33,0.0,1.95,1
18:35:52,0:1:59,0.33,0.0,1.95,1
18:35:52,0:1:59,0.33,0.0,1.97,1
18:35:53,0:2:0,0.33,0.0,1.97,1
18:35:53,0:2:0,0.33,0.0,1.98,1
18:35:54,0:2:1,0.33,0.0,1.98,1
18:35:54,0:2:1,0.33,0.0,2.0,1
18:35:55,0:2:2,0.33,0.0,2.0,1
18:35:55,0:2:2,0.32,0.0,2.02,1
18:35:56,0:2:3,0.33,0.0,2.02,1
18:35:56,0:2:3,0.32,0.0,2.03,1
18:35:57,0:2:4,0.32,0.0,2.03,1
18:35:57,0:2:4,0.32,0.0,2.05,1
18:35:58,0:2:5,0.32,0.0,2.05,1
18:35:58,0:2:5,0.32,0.01,2.07,1
18:35:59,0:2:6,0.32,0.01,2.07,1
18:35:59,0:2:6,0.32,0.01,2.08,1
18:36:00,0:2:7,0.32,0.01,2.08,1
18:36:00,0:2:7,0.32,0.01,2.1,1
18:36:01,0:2:8,0.32,0.01,2.1,1
18:36:01,0:2:8,0.31,0.01,2.12,1
18:36:02,0:2:9,0.32,0.01,2.12,1
18:36:02,0:2:9,0.31,0.01,2.13,1
18:36:03,0:2:10,0.31,0.01,2.13,1
18:36:03,0:2:10,0.31,0.01,2.15,1
18:36:04,0:2:11,0.31,0.01,2.15,1
18:36:04,0:2:11,0.31,0.01,2.17,1
